time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
79,6.0,423.75614152159716,0.014159086823982241
80,11.0,419.395544482741,0.02622822331974648
81,12.0,399.0078505972516,0.030074596231723007
82,10.0,409.06774868723016,0.024445828428400297
83,9.0,415.18615145615075,0.021677023591550406
84,6.0,420.43615145615064,0.01427089459176959
85,10.0,419.1424961555358,0.02385823459019815
86,11.0,426.4646417138205,0.025793463101172077
87,12.0,421.4173067567655,0.028475337409258762
88,8.0,417.7282825931629,0.019151205061667852
89,11.0,415.3846904254716,0.02648147669749909
90,10.0,422.71495737843804,0.02365660316828449
91,8.0,418.4586758119763,0.019117777841448302
92,7.0,429.0334232802821,0.016315745161483583
93,10.0,431.1931951044137,0.02319146061101102
94,13.0,434.720161198481,0.02990429513128692
95,12.0,432.3584864132055,0.027754746066280714
96,5.0,438.8404037956214,0.011393663748264667
97,10.0,436.86413665043216,0.02289041182614116
98,11.0,419.95468049091824,0.02619330254193436
99,8.0,419.88558325983894,0.019052809429394812
100,11.0,423.2650249980803,0.02598844541915527
101,7.0,419.0904037956217,0.01670284009512587
102,7.0,412.7881806831415,0.0169578498793628
103,17.0,346.6866520328201,0.04903563462948278
104,8.0,372.6065158324197,0.021470370645901456
105,7.0,346.71361812688735,0.020189573278999957
106,12.0,421.3534133457288,0.028479655367485448
107,4.0,437.67448115759436,0.009139212296363497
108,8.0,439.0350781964506,0.01822177861701593
109,14.0,427.37010255227625,0.03275849179994408
110,14.0,428.39522881812314,0.03268010252734106
111,5.0,424.6492241391812,0.011774423961648925
112,8.0,427.8134377015545,0.01869973987488643
113,6.0,422.41026310850225,0.014204200333216838
114,3.0,423.42619023324863,0.007085060086499183
115,11.0,433.1322192680162,0.02539640209308316
116,10.0,431.79719491219055,0.02315902029431567
117,6.0,425.1159764786526,0.014113795603965716
118,4.0,429.6429425727197,0.009310056336659074
119,8.0,433.57644725166153,0.01845118675313225
120,6.0,416.155505705643,0.01441768742149947
121,11.0,422.5286658774226,0.026033736615614967
122,12.0,431.6688309203678,0.02779908842251736
123,14.0,433.8256851698604,0.03227102607933053
124,8.0,448.53875785289074,0.01783569392820184
125,5.0,441.0838065645421,0.01133571426923008
126,9.0,433.8648987322332,0.020743784588931443
127,14.0,426.32600083447784,0.03283871960095518
128,12.0,432.3411658774229,0.027755857982309815
129,10.0,428.3892629162792,0.02334325545865587
130,3.0,434.3926269081018,0.006906194567235752
131,5.0,427.3759377015544,0.011699301619296136
132,6.0,422.0171804909181,0.01421743065772916
133,8.0,424.5404669285453,0.0188439044642274
134,13.0,431.1107726586097,0.030154662848785988
135,7.0,443.8416122946066,0.015771391879663695
136,7.0,429.0205444827408,0.016316234944971513
137,5.0,414.2808213702607,0.012069108059268047
138,11.0,415.4010639674017,0.02648043289764712
139,8.0,424.5542385604535,0.018843293208250133
140,4.0,428.62746186515704,0.0093321132122383
141,9.0,433.63006377517826,0.020755018509662604
142,6.0,427.498335791533,0.01403514235649765
143,10.0,435.17219491219055,0.02297940933937153
144,6.0,438.01470933346263,0.013698170111981723
