time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,7.0,225.55744936611666,0.031034222188945994
1,10.0,206.60433790598816,0.04840169427880228
2,8.0,251.14076464628775,0.03185464538689041
3,11.0,252.35859473217795,0.04358876705457182
4,6.0,251.31570151336444,0.023874353905742465
5,8.0,259.425982887603,0.030837312095550663
6,4.0,256.6504102045723,0.01558540271496803
7,13.0,249.3209053334072,0.05214163642882494
8,10.0,250.402696449976,0.039935672186332635
9,6.0,223.23942988145606,0.026876972420087717
10,10.0,234.3774394315631,0.042666222586325096
11,10.0,235.39184239270685,0.04248235579598756
12,12.0,245.32306082624515,0.04891509163298445
13,10.0,244.67001698575885,0.04087137493672572
14,11.0,251.654851942814,0.04371066130884549
15,8.0,256.70846846633066,0.031163755710105306
16,9.0,253.44254134158444,0.03551100755366082
17,13.0,249.25427925978332,0.05215557397291804
18,12.0,249.7469199469025,0.04804864061006744
19,15.0,267.0705896687894,0.056164926353749464
20,17.0,263.980361492921,0.06439872990497393
21,12.0,275.4630409571381,0.04356301287571712
22,13.0,253.77769644997613,0.051225935855882115
23,11.0,259.9207790675601,0.042320587216848934
24,8.0,260.57135175059074,0.03070176343736093
25,12.0,264.64901679353574,0.0453430741794961
26,8.0,264.1997157424133,0.03028012341920821
27,7.0,263.41234200826034,0.026574305313987478
28,9.0,268.6257303559086,0.0335038642354762
29,10.0,262.9152595828996,0.03803506885018558
30,14.0,270.5070119223705,0.051754665805179526
31,13.0,266.02769644997596,0.04886709231211393
32,9.0,266.0698275869882,0.033825706889134444
33,11.0,269.67598288760314,0.040789690955106796
34,8.0,284.1879146912912,0.02815038777665923
35,12.0,272.34463818821763,0.044061818436487044
36,9.0,284.95123990601576,0.03158435107342727
37,7.0,291.7585360859727,0.023992442839572328
38,7.0,280.28137610641625,0.024974902354347885
39,14.0,291.32579348883235,0.04805616362471754
40,11.0,286.04102166470096,0.03845602262214777
41,8.0,291.6139293047866,0.027433531790035402
42,11.0,293.8495263436429,0.03743412533915753
43,13.0,290.4005409571381,0.04476575683073106
44,7.0,292.4478759141931,0.023935889355044808
45,15.0,298.4878515583675,0.05025330150519322
46,9.0,293.8960992188965,0.030623067212936086
47,10.0,294.9970506994685,0.03389864399080929
48,11.0,300.60993398372835,0.036592270435731565
49,7.0,297.28962825366415,0.023546061936702375
50,6.0,306.06919625775294,0.01960341018750271
51,11.0,294.74781278126966,0.03732003944729193
52,14.0,294.0809973088753,0.04760593213472989
53,14.0,305.6146913865876,0.045809316091714604
54,14.0,293.4622788753369,0.047706301653669146
55,7.0,293.74812844588746,0.02382993906049515
56,10.0,291.14457505529396,0.034347196742720715
57,7.0,300.6212886176673,0.023285110752427982
58,14.0,288.10352166470096,0.04859364411481718
59,12.0,276.27065280171314,0.043435666721404254
60,10.0,300.1358223313767,0.03331824879257202
61,12.0,296.47973016368576,0.04047494239614569
62,8.0,301.6949583395539,0.02651685014568954
63,5.0,286.4411479305478,0.01745559266230957
64,11.0,292.8401964499761,0.03756314923070698
65,7.0,307.28886617186276,0.022779868620703584
66,9.0,310.4172301636854,0.028993235959402865
67,10.0,298.8424826953797,0.03346244452865605
68,15.0,301.7619000777956,0.049708064524159386
69,8.0,312.50193885489387,0.02559984116999253
70,8.0,311.1952740041718,0.02570733127487262
71,11.0,311.0888030389394,0.035359678305821624
72,6.0,299.0543468794258,0.020063242894172374
73,10.0,295.28290027001884,0.033865828298406675
74,11.0,301.98632739476506,0.03642549017002511
75,7.0,316.186836944872,0.022138809027083147
76,10.0,317.07072042135513,0.03153870526648126
77,9.0,315.47973016368564,0.028527981798800128
78,6.0,331.0311911943645,0.01812518022350682
79,9.0,317.927953468389,0.02830830036118499
80,8.0,311.8011136401687,0.025657381099774803
81,11.0,313.085123382499,0.035134214877917395
82,3.0,313.83543904711655,0.009559149881570915
83,15.0,309.3469244336211,0.04848924885050429
84,9.0,312.4253515583675,0.028806881244138136
85,6.0,325.22313293260606,0.018448872150934423
86,8.0,317.7323320737069,0.025178425965614905
87,12.0,317.09292911256335,0.03784379561406169
88,12.0,323.33296788966146,0.03711344400888635
89,8.0,322.5918513661444,0.024799138496898777
90,8.0,325.817802846716,0.024553599987793405
91,5.0,327.932079542013,0.015247059717313887
92,8.0,317.9697689407835,0.02515962453490308
93,11.0,326.7937543272878,0.033660374025947175
94,9.0,324.9132348426273,0.02769970267403597
95,9.0,315.6802397137925,0.028509861777093606
96,6.0,317.81888059313513,0.01887867702762779
97,11.0,319.61069606552945,0.034416870697420845
98,6.0,324.14806979968256,0.018510059318594393
