time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
202,8.0,224.92432797143465,0.03556751762759962
203,5.0,237.26684239270676,0.02107331959905449
204,9.0,245.9943180368813,0.036586210900410525
205,5.0,248.71291020457224,0.020103500039010368
206,10.0,258.56722567696664,0.03867466177826112
207,7.0,257.8005364704193,0.027152775148717345
208,7.0,254.2354345603979,0.027533534072871468
209,3.0,254.54609473217786,0.011785684644490292
210,8.0,265.06354602052636,0.03018144184708253
211,6.0,258.31906550518704,0.02322708929078067
212,8.0,250.55865786510137,0.031928651231469846
213,6.0,241.25351717798205,0.0248701037405957
214,6.0,229.45725996734606,0.02614866054294319
215,7.0,238.80605595507996,0.029312489467673796
216,4.0,234.8821968344223,0.01702981347206897
217,9.0,232.9624637873888,0.0386328331769953
218,6.0,231.64812395916857,0.02590135373191103
219,8.0,229.89552204914716,0.03479841594430776
220,7.0,228.8322599673458,0.03059009250268688
221,5.0,226.34926483851106,0.02208975586276921
222,3.0,247.15853159925425,0.012137958502133502
223,6.0,235.19653666264256,0.025510579726801777
224,4.0,240.6544055256305,0.01662134541548622
225,4.0,243.57490065446515,0.016422053295525683
226,7.0,228.19837649086264,0.030675064860859292
227,3.0,239.0863860409698,0.012547765891973123
228,5.0,233.7694443027283,0.021388595138743055
229,7.0,237.7613229080463,0.029441289753873195
230,5.0,233.9783909121349,0.021369494766196734
231,3.0,243.82090533340718,0.012304113119003148
232,4.0,226.95358031090575,0.017624749495118622
233,5.0,235.85523074035518,0.021199445033739047
234,2.0,236.54901230681696,0.00845490742276231
235,8.0,245.04977438861826,0.03264642875089124
236,6.0,240.17845404505846,0.024981424848685117
237,4.0,247.477313165716,0.016163097735433698
238,3.0,228.28048327204945,0.013141727917339302
239,3.0,232.36703179147744,0.012910609464995677
240,6.0,237.99463370149886,0.02521065247011161
241,5.0,236.28308518207066,0.021161057703928288
242,6.0,229.2075756319637,0.02617714525122913
243,4.0,231.69317267082,0.01726421177581712
244,9.0,229.7538328425996,0.03917236064638689
245,5.0,228.1314347526212,0.021917189998045854
246,4.0,223.09850275670988,0.017929300065101832
247,3.0,222.31633284259982,0.013494285200017234
248,4.0,220.19761440906157,0.018165501069276762
249,5.0,230.80897352971905,0.02166293590554961
250,5.0,216.36918728431527,0.023108650833123745
251,6.0,232.03308518207075,0.025858381339419527
252,1.0,226.01011440906154,0.004424580743276269
253,4.0,227.78676483851106,0.01756028276197606
254,4.0,229.4679832720493,0.017431625723828052
255,3.0,222.49310953789637,0.01348356363138977
256,2.0,231.05529387327874,0.008655936708798766
257,4.0,230.70986187736736,0.017337793744275135
258,3.0,237.67661421683837,0.012622192595115917
259,4.0,243.9051676074316,0.01639981653212879
260,3.0,245.05605595507993,0.012242096969641575
261,5.0,238.0053570062023,0.021007930505823457
262,6.0,242.30085213503708,0.024762603792479156
263,5.0,234.79044449495146,0.02129558556250151
264,6.0,217.4575756319637,0.027591588761914216
265,4.0,245.88295891622366,0.016267902491619458
266,2.0,231.8803570062023,0.008625137660739864
267,3.0,240.3293423927068,0.012482870256840682
268,7.0,240.8578326503765,0.02906278746666725
269,3.0,244.06493943156306,0.012291810560693884
270,3.0,241.39812395916863,0.01242760279490588
271,6.0,235.38847840088425,0.025489777752764727
272,3.0,236.38479874444374,0.01269117141175947
273,5.0,243.86779387327869,0.020502912338634417
274,2.0,220.93060953789643,0.00905261613220208
275,3.0,221.5323231002695,0.013542041892650339
276,5.0,243.46950743565185,0.0205364526041171
277,3.0,244.7542792597833,0.012257191208558142
278,2.0,245.2069443027283,0.00815637585504444
279,2.0,240.135560826245,0.008328629017370488
280,4.0,236.82306082624507,0.016890247031030325
281,3.0,238.73023074035504,0.012566485571166831
282,3.0,239.52128413094846,0.012524982950408168
283,2.0,243.8567549039577,0.008201536187864447
284,4.0,244.82826464628795,0.016337982894985354
285,2.0,251.0735072434287,0.007965794646987174
286,2.0,247.820143251606,0.008070368993247845
287,2.0,246.1363229080463,0.008125578445190216
288,6.0,245.11487629863956,0.02447831845460822
289,4.0,245.89520638452944,0.016267092225233638
290,6.0,252.35307524751732,0.02377621114430635
291,5.0,248.93625977512295,0.020085462859114056
292,1.0,252.12712376694532,0.003966253154596543
293,2.0,242.5497743886182,0.008245730201321726
294,4.0,243.39076464628795,0.016434477313932074
295,5.0,243.33822586919,0.020547532070394163
296,4.0,240.34450743565182,0.016642776831798132
297,6.0,245.54977438861806,0.024434964417862307
298,2.0,243.0830220491472,0.008227641663907052
299,5.0,243.8563084867741,0.020503878005153933
300,4.0,244.22839091213484,0.01637811224592257
301,6.0,244.3881627362665,0.024551107274679868
302,3.0,250.24247820866094,0.011988372323816643
303,6.0,244.71842968923286,0.024517973605908554
304,4.0,251.7550413415846,0.015888460380710893
305,5.0,242.79793456039806,0.02059325590661566
306,5.0,244.46658986101275,0.020452692545196723
307,5.0,249.5246481227711,0.020038100594935614
308,7.0,247.92737629863956,0.02823407444754382
309,3.0,237.02572586919,0.012656853972279966
310,4.0,229.10707056857538,0.017459085789335062
311,1.0,262.4000945399547,0.003810974236702242
312,10.0,250.11824029046215,0.039981090496986574
313,7.0,249.81462376694532,0.02802077754475404
314,5.0,241.8434296892328,0.020674533132551777
315,6.0,238.10155108391484,0.025199331850994124
316,2.0,235.36779387327857,0.008497339279463166
317,2.0,236.9151288303337,0.008441841641241475
318,2.0,214.9468523272603,0.009304625670698194
319,7.0,243.41589091213493,0.028757366553881926
320,6.0,239.8785171779821,0.02501266086928574
321,4.0,246.04012883033369,0.01625751058990199
322,3.0,226.59482310026945,0.013239490465642649
323,4.0,218.07185232726033,0.018342578179219582
324,4.0,221.05224554607378,0.01809526969571672
325,6.0,218.8066872843154,0.027421465378723347
326,2.0,241.52940552563038,0.008280565240689776
327,3.0,244.58822586919018,0.012265512738149749
328,0.0,0.0,0.0
329,8.0,241.57306082624513,0.03311627535221783
330,1.0,221.66912415139186,0.004511228182220979
331,3.0,245.05789578330018,0.012242005059297663
332,2.0,239.8052938732787,0.008340099451919807
333,4.0,214.36474554607372,0.018659784703918464
334,5.0,236.08042013912586,0.021179223575819722
335,2.0,238.19729874444374,0.008396400843091645
336,4.0,234.77420170558756,0.017037647113442623
337,2.0,234.25459492440112,0.008537719401599964
338,6.0,233.46354153380784,0.025699944242176847
339,2.0,205.82032816365788,0.009717213153064752
340,3.0,210.4050368548658,0.014258213799650405
341,1.0,218.0718523272604,0.004585644544804894
342,4.0,239.95358031090564,0.01666989087979949
343,3.0,219.2745173702052,0.013681480347007422
344,3.0,208.2962796442298,0.014402561606592312
345,3.0,214.03003685486576,0.014016724213500495
346,2.0,213.18092520251412,0.009381702411226862
347,3.0,213.2049737219423,0.014070966298903234
348,1.0,238.87223561152044,0.004186338347108313
349,5.0,240.62667734976193,0.020779075932350885
350,5.0,236.51240065446532,0.02114054056431819
351,2.0,236.33118222092708,0.00846270044098692
352,3.0,214.80744936611663,0.013965996099543162
353,3.0,212.5522455460738,0.014114176927618984
354,4.0,214.4235658896334,0.018654665980412117
355,3.0,237.99983752154176,0.012605050622055424
356,4.0,233.01424048268544,0.017166332803154268
357,3.0,227.22058518207075,0.01320302910757894
358,6.0,236.29977438861806,0.025391475787583336
359,5.0,208.70237181192087,0.02395756194139431
360,4.0,212.3174105890187,0.018839717331249728
361,2.0,218.9154444949515,0.00913594746416406
362,4.0,217.9797843231716,0.01835032552408482
363,3.0,222.8984396237863,0.013459044419797093
364,3.0,222.04932797143465,0.013510511503939037
365,2.0,240.93289578330013,0.00830106654177618
366,6.0,216.7164591084469,0.02768594515009838
367,5.0,236.43917734976188,0.021147087619085878
368,1.0,232.2590366626426,0.0043055375341649466
369,3.0,218.63175041723886,0.013721703248840903
370,2.0,219.273755288404,0.009121018597822899
371,3.0,238.0053570062022,0.01260475830349408
372,2.0,220.12991058901875,0.009085544052820646
373,5.0,238.49723561152024,0.020964603582006813
374,3.0,238.86963370149888,0.012559151841581174
375,4.0,238.64108031090555,0.016761573467521742
376,4.0,247.01240065446513,0.01619351898690878
377,3.0,217.2156970266456,0.013811156564951165
378,3.0,235.18137161969761,0.012756112354218174
379,5.0,237.144759967346,0.021084168170903216
380,4.0,239.18841526796064,0.016723217951500016
381,1.0,240.02604153380764,0.004166214605756226
382,5.0,219.5389203313489,0.022775004962461907
383,4.0,218.3451387648873,0.018319620132725627
384,2.0,240.26424048268535,0.008324168407175557
385,3.0,235.8733133579391,0.012718691899865258
386,2.0,238.5349250102909,0.00838451643889764
387,2.0,239.68657543974044,0.00834423036138217
388,6.0,235.2250269203123,0.02550748990681435
389,4.0,230.70021631908293,0.017338518636096877
390,4.0,237.99831335793937,0.016806841794648225
391,2.0,233.30821144791787,0.008572351515567922
392,2.0,233.9206483149943,0.008549907904268577
393,3.0,226.05116779965476,0.013271331571526532
394,5.0,228.3788328425998,0.021893447557138682
395,4.0,224.0833377137649,0.01785050169642439
396,3.0,222.58333771376485,0.01347809782535432
397,3.0,234.30897352971905,0.012803606941752442
398,7.0,228.14031822910437,0.030682871201093094
399,4.0,205.54704172603098,0.01946026547699728
400,2.0,203.30700294893302,0.009837339447192398
401,3.0,230.9465366626426,0.012990019436326423
402,2.0,236.54901230681696,0.00845490742276231
403,2.0,233.7339103967956,0.008556738714569587
404,3.0,236.57306082624507,0.012681071925612861
405,3.0,226.21798327204937,0.013261545154843879
406,4.0,232.03828900211363,0.01723853428329479
407,3.0,235.2890510839148,0.012750274550302228
408,5.0,229.67401230681693,0.021769985858568097
409,3.0,228.11703179147744,0.013151144289578124
410,2.0,230.206182220927,0.00868786398655713
411,1.0,200.88910973011954,0.004977870633920524
412,1.0,230.34006569741013,0.004341407114616638
413,3.0,229.23835213503713,0.013086815413124214
414,2.0,199.73454172603087,0.010013290554136262
415,6.0,233.3356239591686,0.02571403328044731
416,3.0,224.10370657675267,0.013386659443638154
417,2.0,234.75611908800354,0.008519479738248082
418,3.0,208.3684252025142,0.01439757485849541
419,5.0,237.87407543974055,0.0210195246823634
420,3.0,237.55085213503708,0.012628874925250251
421,2.0,237.11151230681693,0.008434849833069451
422,4.0,231.3733133579393,0.01728807848211914
423,4.0,231.44837649086264,0.01728247162778399
424,4.0,222.7153813620278,0.017960142561945145
425,4.0,223.77083771376496,0.017875430243133712
426,3.0,201.24894468717463,0.014906910466851192
427,0.0,0.0,0.0
428,4.0,231.51347840088414,0.017277611772882093
429,2.0,231.72946865855386,0.008630753833673772
430,2.0,223.7608764908628,0.008938113004226051
431,3.0,232.03200743565182,0.012929250723445876
432,3.0,229.21874535385055,0.013087934825613093
433,2.0,237.706182220927,0.008413748356536962
434,4.0,241.4791529939363,0.016564576902008774
435,3.0,239.37743943156312,0.012532509358960229
436,3.0,233.7830851820708,0.012832408288493554
437,2.0,228.122551276138,0.008767217396140016
438,2.0,222.48974554607372,0.008989178333101358
439,5.0,232.00903666264264,0.02155088470657438
440,2.0,230.0929832720493,0.008692138158925559
441,4.0,233.4731870920921,0.01713258832767903
442,2.0,232.25275509618075,0.00861130796563321
443,1.0,227.7519930143796,0.0043907409404617724
444,4.0,202.23117773420833,0.019779343842111156
445,3.0,204.48822138247135,0.014670771645027173
446,4.0,231.78492501029095,0.017257377716960693
447,4.0,227.32521631908295,0.017595936186795207
448,3.0,222.89767754198508,0.013459090435946418
449,4.0,228.34038136202787,0.017517707451219947
450,4.0,225.28676483851106,0.0177551486562793
451,5.0,233.37667734976193,0.021424591594928287
452,4.0,238.87743943156306,0.016744988599670482
453,6.0,232.97502692031236,0.025753833272663434
454,3.0,234.04273074035513,0.012818172094087267
455,2.0,226.02864344382914,0.00884843606335683
456,3.0,194.79811947244977,0.015400559348953515
457,2.0,234.87927925978326,0.008515012504734154
458,3.0,229.4606239591686,0.01307413859614465
459,2.0,239.7532015133643,0.008341911546438792
460,2.0,234.1444443027282,0.008541735875715144
461,0.0,0.0,0.0
462,2.0,241.2461578651013,0.008290287471099743
463,3.0,235.03276951745295,0.01276417754919587
464,2.0,236.1311190880034,0.008469870501289677
465,4.0,234.44177925978317,0.017061805334481914
466,6.0,203.5873330348229,0.029471381694330268
467,4.0,200.45160973011966,0.01995494077291495
468,1.0,201.62654659719598,0.004959664373946615
469,3.0,196.3757845153948,0.015276832667547237
470,3.0,200.19088642541615,0.014985697169175036
471,1.0,240.39704621274961,0.004159784888184555
472,2.0,195.53295442950497,0.010228454870102498
473,0.0,0.0,0.0
474,2.0,239.86119664219925,0.008338155683361317
475,3.0,210.99939110435812,0.014218050508573415
476,2.0,241.88340533340713,0.008268446515556704
477,3.0,240.187021856924,0.012490266862907596
478,2.0,236.64520638452944,0.00845147058144994
479,1.0,240.2443180368812,0.004162429347638035
480,2.0,235.62559960334286,0.008488042060654032
481,2.0,211.47978432317166,0.009457168714262122
482,3.0,241.8415898610127,0.012404814249377503
483,3.0,240.5586578651015,0.012470970808634603
484,3.0,241.78353159925425,0.012407792954949348
485,3.0,211.5415222413704,0.01418161299121682
486,2.0,209.0655707607986,0.009566376676570485
487,4.0,238.87375977512275,0.016745246542632496
488,2.0,205.79152224137033,0.009718573331967606
489,3.0,232.1810559550799,0.01292095079703837
490,3.0,234.1677307403551,0.012811329684560151
491,1.0,208.12546885077703,0.004804793980870191
492,1.0,200.97305633952638,0.004975791373300248
493,2.0,204.62654659719607,0.00977390291366724
494,1.0,244.976235419297,0.00408202860284965
495,2.0,241.27908986101264,0.008289155936190276
496,2.0,210.56741058901866,0.009498145959079872
497,1.0,209.02451737020525,0.004784127778794919
498,1.0,214.9627794520065,0.004651968133968347
499,3.0,242.17185681397908,0.01238789692356535
500,4.0,233.0756627362665,0.017161808972420017
501,3.0,239.13372099802487,0.012545282143729025
502,3.0,242.19070151336425,0.012386933029443568
503,3.0,212.6816872843153,0.014105586796429566
504,2.0,238.98911421683837,0.008368582002380954
505,1.0,210.68536694075576,0.004746414117508207
506,3.0,240.5257258691901,0.012472678293179957
507,0.0,0.0,0.0
508,1.0,210.83441546018386,0.004743058659646818
509,5.0,215.91284258493,0.023157492348021096
510,3.0,219.2235027567098,0.01368466410889048
511,3.0,219.91544449495137,0.013641606695199033
512,2.0,223.70205614730315,0.008940463196650466
513,2.0,251.74768202870376,0.007944462423181175
514,1.0,213.30668728431527,0.004688085557613604
515,4.0,243.1880996033428,0.016448173272147305
516,2.0,213.08701737020527,0.009385836944375234
517,1.0,216.25751249904013,0.0046241168153843375
518,3.0,242.1747743886181,0.012387747681704855
519,2.0,251.241400462242,0.007960471468159052
520,1.0,242.86747820866088,0.004117471830216991
521,4.0,247.50320151336444,0.016161407107228923
522,1.0,248.0897500327925,0.004030799337206878
523,2.0,248.18886168514405,0.00805837935844691
524,1.0,217.3547843231716,0.004600772893561712
525,3.0,250.91817715753857,0.011956088769593025
526,2.0,219.3555464049729,0.00911761764303699
