time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,11.0,204.12870209003393,0.05388757135754623
1,8.0,217.0174737219423,0.036863391056934654
2,9.0,214.4257213824713,0.04197257652661312
3,7.0,212.70084764831836,0.032910071010031273
4,5.0,208.62058069535212,0.023966954666382996
5,7.0,224.5370805031289,0.031175251697024075
6,5.0,205.49297878533056,0.02433173157328786
7,7.0,202.56988174647435,0.03455597613845096
8,5.0,196.38422157469466,0.025460293907055318
9,14.0,198.8361245358382,0.07040974084906107
10,12.0,204.99926035179232,0.05853679656895935
11,10.0,220.34621651130624,0.045383125511877745
12,10.0,215.92235739064859,0.04631294378612176
13,6.0,213.3580175624285,0.02812174610801491
14,10.0,214.84989616774652,0.04654412302900247
15,12.0,227.5666485072175,0.05273180441298017
16,7.0,231.11106588963355,0.03028846746500157
17,9.0,226.53784258493008,0.03972846168792244
18,15.0,224.95528938655997,0.06667991688883658
19,9.0,238.7120173702052,0.037702333125702675
20,13.0,233.48606588963344,0.055677840775924387
21,15.0,222.37502243359367,0.06745361882753423
22,9.0,238.9024349448444,0.03767228241971597
23,11.0,234.67020189781076,0.04687429384319552
24,10.0,232.84145910844694,0.042947677953445805
25,6.0,230.19012434361505,0.02606541013481331
26,12.0,223.80992052357215,0.053616926237798894
27,10.0,233.59469234770356,0.04280919185062258
28,8.0,237.50154659719615,0.03368399117656291
29,14.0,239.2264203313489,0.05852196417355914
30,11.0,230.509667991878,0.04772034117192683
31,21.0,241.66912415139174,0.0868956680905779
32,14.0,233.70268747653844,0.05990517332585432
33,11.0,230.2873961677466,0.04776640051975466
34,17.0,232.06252243359356,0.07325612003922209
35,15.0,249.7519930143796,0.060059580782349825
36,9.0,252.11442988145606,0.03569807568821741
37,13.0,251.32337649086287,0.0517261871200136
38,6.0,246.52527945200657,0.024338274814401244
39,13.0,250.0260415338077,0.05199458392513959
40,14.0,252.1894930143794,0.055513811589294665
41,10.0,261.6832114479178,0.03821414428793143
42,10.0,254.5108764908627,0.039291051674795574
43,11.0,258.34374535385075,0.04257892903477657
44,8.0,245.030798936667,0.03264895692589141
45,9.0,251.1868911043581,0.035829895264163525
46,8.0,244.90732310026945,0.03266541767199283
47,5.0,252.7812453538507,0.01977994844119409
48,11.0,246.7124637873888,0.04458631652059358
49,10.0,261.4950801186823,0.03824163726316149
50,9.0,250.61487629863956,0.0359116750486725
51,10.0,259.4835947321778,0.038538081801746865
52,12.0,255.3219830798261,0.046999478287179895
53,11.0,258.55421612685967,0.04254426852820241
54,11.0,265.1862597751228,0.04148027883996693
55,10.0,267.92553647041944,0.03732380321688395
56,13.0,250.05161421683826,0.05198926645891091
57,13.0,258.1410803109055,0.05036005886526383
58,8.0,248.01823580374344,0.03225569270773457
59,11.0,249.56893475262117,0.044075998524830295
60,10.0,265.00688116980467,0.037734869207386515
61,10.0,252.77940552563038,0.03956018481492179
62,9.0,255.9990754397405,0.03515637696948834
63,15.0,257.28905108391467,0.058300187811364576
64,8.0,243.22166292848976,0.032891807019476305
65,11.0,250.08930361560894,0.04398428817614354
66,8.0,244.1735658896335,0.03276357934509586
