time (h) AEL,class_I_23.11.23 221NG overnight 30s Roper_movie-1,class_I_23.11.24 221NG overnight 30s Roper_movie-1,class_I_23.11.24 221NG overnight 30s Roper_movie-2,class_I_23.12.07 221NG overnight 30s-cut_1,class_I_23.12.07 221NG overnight 30s-cut_2,class_I_24.12.10 221 overnight 1 min_1,class_I_24.12.10 221 overnight 1 min_2,class_IV_MAX_23-10-19-ppkIII_ddaC_A6_1m_8h,class_IV_MAX_23-11-15--ppkIII_v_ada_A2_30s_6h,class_IV_MAX_24-03-02--ppkIII_ddaC_e3_A4_1min_10h_t1,class_IV_MAX_24-03-06--ppkIII_ddaC_e1_A4_1m_10h_t1.tif,class_IV_MAX_24-03-22--ppkIII_ddaC_e2_A3_30s_7h_t1,class_IV_MT_inh_MAX_25-02-24-ppkGFP-DlgRFP-e1_A5_1min-8h_Cropped,class_IV_MT_inh_MAX_25-02-27--ppkGFP_dlgRFP_Col-Vinb-e1_A4_1min-8h,class_IV_MT_inh_MAX_25-03-03--ppkGFP_dlgRFP_Col-Vinb-e1_A3_1min-10h_Cropped,class_IV_MT_inh_MAX_25-05-02-ppk-Dlg_InjVinB-Col_e1_A4_1min_10h_w1CSU 491
16h25,0.017237319920933834,-0.019929113310073368,-0.014451792540307956,0.0070998081266345405,0.01702678412801117,0.013181425588858972,0.01766615737203972,0.08554206887480847,0.06754274019266289,0.029979680864055263,0.10105482950167644,0.0939898320134636,0.04476201265221915,0.0823022604807514,0.07572902520656664,0.10784241008488038
17h15,-0.003169492122433555,-0.02186744291393306,-0.0010344208706781614,-0.013314048642196485,-0.01472963538658278,0.00241182752629589,-0.006196869886294477,0.03234145805495802,0.04363243132000701,0.04824488236370903,0.02077986206167209,0.013240492426613137,0.047344695969429404,0.04951597915148576,0.045703487192228345,0.07076081074639283
18h05,-0.014866101700305816,0.010748555737126143,-0.0051627471525546075,0.012432774748895063,0.01436342292059097,0.005951721141297628,-0.008164826528412862,0.037549054518621436,0.02930829633541276,0.034510166427134635,0.05352323144209206,0.011425629763032779,0.015418617122046738,0.008399882111766522,0.04053746637995313,0.05402990718712705
18h55,-0.01024738146842773,-0.027428941239825977,-0.02895644530169435,-0.04816843093048558,-0.01931301591148201,0.0027663072944458904,-0.026875405708196704,0.02252200634209404,0.000430926976715977,0.020422424995100035,0.017345421599699786,-0.0031838771793483295,0.0018036165458398883,-0.01572201484929163,0.023467665891249788,0.033607881418776665
19h45,-0.008312711432529941,-0.0044470946558120015,-0.020318047308801625,-0.012163203838763539,-0.018144536183280775,-0.008090777141698367,-0.028549385636967167,0.004186194495552416,0.025742275682622228,0.0039986194918076355,0.028992458398844893,0.01502655215143417,-0.008088717938280525,0.000968105249915284,0.02033225992619116,0.026121261345405256
20h35,-0.024651044208497654,-0.020671049128259105,-0.01863656886659484,-0.010903682315077025,-0.013725190871409637,0.003451607776881687,0.0014638513015905487,0.0016869194205100162,0.015640616460759236,0.019493095463922375,0.00973725114935862,-0.017877140811698247,0.0027052206032747383,0.02104383962110106,0.036459631070576703,0.039475180767682645
