time (h) AEL,class_I_23.11.23 221NG overnight 30s Roper_movie-1,class_I_23.11.24 221NG overnight 30s Roper_movie-1,class_I_23.11.24 221NG overnight 30s Roper_movie-2,class_I_23.12.07 221NG overnight 30s-cut_1,class_I_23.12.07 221NG overnight 30s-cut_2,class_I_24.12.10 221 overnight 1 min_1,class_I_24.12.10 221 overnight 1 min_2,class_IV_MAX_23-10-19-ppkIII_ddaC_A6_1m_8h,class_IV_MAX_23-11-15--ppkIII_v_ada_A2_30s_6h,class_IV_MAX_24-03-02--ppkIII_ddaC_e3_A4_1min_10h_t1,class_IV_MAX_24-03-06--ppkIII_ddaC_e1_A4_1m_10h_t1.tif,class_IV_MAX_24-03-22--ppkIII_ddaC_e2_A3_30s_7h_t1,class_IV_MT_inh_MAX_25-02-24-ppkGFP-DlgRFP-e1_A5_1min-8h_Cropped,class_IV_MT_inh_MAX_25-02-27--ppkGFP_dlgRFP_Col-Vinb-e1_A4_1min-8h,class_IV_MT_inh_MAX_25-03-03--ppkGFP_dlgRFP_Col-Vinb-e1_A3_1min-10h_Cropped,class_IV_MT_inh_MAX_25-05-02-ppk-Dlg_InjVinB-Col_e1_A4_1min_10h_w1CSU 491
16h25,0.8046288817016007,0.6953048037935088,0.4932835808141506,0.7903457141299237,0.7768469904567996,0.8076511537176662,0.7120769143164664,0.9375393733496643,0.8026757733334824,0.7776776639175684,0.9799633661580966,0.943501007079864,1.0006930107888174,1.0053665045120268,1.0401678375988346,1.0239667693662653
17h15,0.7189083231151954,0.6926938032651427,0.5801021073090178,0.6953326301904506,0.6162569519401575,0.8442084958928503,0.6879306476042137,0.9139347553885946,0.7221779966651365,0.8686798565853985,0.8679660412288317,0.8805794833296691,0.8474545784624882,0.9560418744432421,1.003510840293979,1.0044362296560236
18h05,0.7368253387343909,0.7150797993195541,0.7134280513098816,0.5850272633052406,0.644878276017889,0.805297102090322,0.6496359667027812,0.8243301524641526,0.6775011833642578,0.8141171634339027,0.8235972486661873,0.7759288289222842,0.8216521680745971,0.926619839794098,0.9103784352537626,0.8940138915724553
18h55,0.6491560459996099,0.7160443201880872,0.657037567627243,0.5120511307454312,0.5484577609728859,0.6285330497864592,0.6178235956958914,0.751609118483376,0.6475223672122015,0.7587360544223105,0.7650276675095302,0.7166113738544857,0.7605847428378079,0.7806775274813604,0.9114306269750432,0.8491915426437723
19h45,0.5914365930870632,0.6854956747882902,0.6471707968815512,0.4939235303212894,0.4394408121831565,0.5623139124088163,0.5662503607268238,0.7082432550072721,0.6268726210559191,0.7010103977151173,0.7509766077415214,0.6422782664214265,0.7366399868945694,0.7700703689360762,0.8238315084889943,0.8501988638435959
20h35,0.5442888675741326,0.684201258177752,0.5555715181120469,0.3588133678736057,0.40218700825749504,0.5152506077456104,0.5017524597852024,0.6269770001920553,0.5506593434259206,0.6644453738354499,0.621126801220996,0.5430487386092911,0.6766078918492956,0.7727028905730137,0.8821867686784471,0.8393621505179977
