time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,182.88193532929049,28.076239130681458,3.6590575395840763,322.74390125278154,7.673079427407111,64.0,0.5666472228271558
1,186.86201288348616,27.234717363430395,3.6068458456486003,308.6031299793948,7.550840409852037,67.0,0.6055091304354652
2,192.24145462172788,26.871709433112294,3.638567368591718,307.16772970458754,7.3852444412793155,62.0,0.6258517286520048
3,187.53358575873995,28.20270181564668,3.823177875456444,338.7389154084225,7.376769466233531,69.0,0.5536227968747788
4,185.43447410638842,26.87736670930903,3.8625282258822997,326.1431455891173,6.958490692497025,62.0,0.5685677488988319
5,186.76397897755334,27.407290658605056,3.788334020647625,326.18519286523696,7.234655262504998,63.0,0.5725703773890026
6,181.23104698164232,27.110134109250623,3.7683117183675803,320.94333379083105,7.194238729537651,66.0,0.564682384397977
7,175.69291116568803,27.669665783716873,3.6840476228069137,320.2425399866668,7.510669952370233,62.0,0.548624524315236
8,171.17146455628142,27.093876038719824,3.5967740625470275,306.14993382161043,7.532826796335799,63.0,0.5591099185277656
9,175.37152768920495,27.57669934689649,3.652082213279763,316.3972517259909,7.5509525077561594,64.0,0.554276393781959
10,169.22876073623883,22.312206085588244,3.9477259532213504,276.71925648844484,5.651913620645691,59.0,0.6115539730907936
11,192.48625080168486,28.916506339205657,3.9267048134665457,356.71711611631645,7.36406419958973,64.0,0.5396047515110544
12,191.38193532929031,27.92867286941802,4.253316287705453,373.1881552083009,6.566328713937417,61.0,0.5128296079559852
13,178.83199846221424,22.322329338033303,4.149238343816611,290.97640014608754,5.379861914006237,59.0,0.6145927929977479
14,191.85757114524444,27.355909315206553,3.9263490424212355,337.43484888906664,6.9672637403467235,56.0,0.5685766356880304
15,205.7751486994401,29.717818493226083,3.841854677202976,358.6804712328275,7.735279178977651,63.0,0.5737004526401073
16,206.8535758241863,29.09137468254619,3.849087241262018,351.78058860762945,7.557993066690758,65.0,0.5880187324801697
17,202.47413408594477,27.99720845761419,3.8332505156247265,337.1567092774375,7.30377739297097,63.0,0.6005341982363875
18,202.12533809821088,27.352167559274225,4.027331097379552,346.06601859861036,6.791636172419833,62.0,0.5840658349430398
19,207.3162020900335,28.930809506753395,4.04911018128518,368.018840793964,7.14497956624406,58.0,0.5633304035270842
20,206.68752243359296,28.666654832914165,3.8773385778914697,349.1890497506551,7.393384471598903,64.0,0.5919072278503064
21,194.12565376282876,28.229196455067687,3.7406595254880552,331.73902916591175,7.546582698243443,61.0,0.585175805966868
22,207.22628957878248,29.91684030055039,3.8741426058621284,364.11720361777924,7.722183549795497,74.0,0.5691197436425219
23,203.98517305526582,30.004306228156704,3.7585423313668853,354.2851164123371,7.982963495649897,69.0,0.5757655729964571
24,208.41347391416505,29.012395003451037,3.6984868174021073,337.09905070171385,7.844395947808173,72.0,0.6182558909030634
25,202.91562940700305,28.100266750363264,4.027255227398186,355.52444669073776,6.977523192270454,74.0,0.5707501447390326
26,195.45515863399393,26.68556032516093,4.240348877241845,355.49032774316623,6.293246404413469,63.0,0.5498184996335705
27,205.98364889166345,27.440647021889554,4.396739190324698,379.03116870000736,6.2411359496315875,66.0,0.5434477845137158
28,212.18339635996904,27.52450573175906,4.565581299229279,394.7893989283438,6.028696879498237,71.0,0.5374597112686943
29,214.07876522295686,26.914739874507784,4.735660726305806,400.4244986247429,5.683418097289126,59.0,0.5346295392969459
30,204.34240610229944,27.898543380218317,4.513623837690463,395.60043813746705,6.180963319817427,62.0,0.5165373604346024
31,203.56467792643102,28.482229643287507,4.206712668463974,376.41481294532014,6.770662008082291,66.0,0.5407987967678675
32,205.20147897755322,26.609870251451646,4.336156493856965,362.49129134776797,6.1367412105974175,70.0,0.5660866450462845
33,204.02102262581627,27.73396339159033,4.163408041276976,362.75281168728094,6.661360865096453,66.0,0.5624243728859009
34,208.26029932111277,28.67254521026762,4.060648666612247,365.7729072518562,7.061075105073988,62.0,0.5693704897003573
35,219.93124086713112,28.611925894598375,4.022039508219107,361.5291304143356,7.11378539075248,72.0,0.6083361543095457
36,217.29291565240635,29.166558489590148,3.954015606892289,362.30425906592194,7.376439900426694,68.0,0.5997525842302326
37,222.3088427771526,29.19348982238117,4.1772869081573925,383.11591355364254,6.988624546083301,73.0,0.5802652276046103
38,215.54291565240644,29.020651449894505,4.158062851973323,379.09502020367023,6.97936815363961,70.0,0.5685722686006405
39,218.219692347703,28.580359449117328,4.445569679511049,399.1581314667731,6.42895320724357,69.0,0.5466998543805642
40,209.98333322704553,29.710535039024922,4.169445782885524,389.1693924775222,7.125775603313715,67.0,0.539567954946955
41,230.26074573829595,29.574173046729015,4.387581875306935,407.65025300564116,6.740426478003933,74.0,0.5648487742631416
42,214.6519885276602,29.410759457981147,4.14673018509846,383.1438774121586,7.092518236096139,73.0,0.5602385975145129
43,213.0225467894185,29.70150291361531,4.157260017426099,387.91402931463693,7.144490070169949,72.0,0.5491488595186538
44,221.19380400005457,29.265277317160077,4.176978008537551,384.02960471340623,7.006327842124903,74.0,0.5759811256351633
45,220.5946923477029,29.23938033382596,4.246257390097635,390.0536559291649,6.885918032668682,71.0,0.5655496083537893
46,216.02483303482236,28.828935040627027,4.188897226251181,379.3832716767425,6.882225436317817,66.0,0.5694105385302508
47,226.05148346427174,29.194876579075306,4.379415810290544,401.67305389961945,6.666386076077674,70.0,0.562774827112907
48,221.08257563196298,28.42843074552177,4.415102281245312,394.31520943809477,6.43890649289858,71.0,0.5606747351871337
49,222.99494936611578,28.79203631597202,4.3602425576931525,394.3963650411461,6.603310695450129,74.0,0.5654082266778788
50,214.04336206958996,28.817181589384962,4.3827426399534355,396.77778164312036,6.575148019572313,68.0,0.5394540016409238
51,225.13435232725968,27.899702778777925,4.836123263836768,423.8837922384646,5.769022263639228,74.0,0.5311228134917829
52,219.44241058901798,29.10189211866798,4.6468185661553685,424.84138406306073,6.262756271705691,67.0,0.5165278591514177
53,218.09253685486505,29.638762154531953,4.5574488726988704,424.35736064876306,6.503366901619285,68.0,0.5139360291086794
54,219.59437668308533,29.87026791636339,4.371878508932759,410.25801593925735,6.832364590034129,67.0,0.5352591982397692
55,221.1479932066021,29.31550867085766,4.693607734052992,432.2690063914259,6.24583696208105,65.0,0.5115980788276765
56,209.90275060946138,28.74276160095301,4.416589756466443,398.80943687067463,6.507908405771667,64.0,0.526323429697398
57,203.11829444994768,29.57719645194095,4.1788133092382616,388.29325618859616,7.077893713641984,67.0,0.523105388035099
58,215.8761001800118,29.09033183330798,4.267276512257432,389.9862842914467,6.81707214185633,69.0,0.5535479294412367
59,209.8698186135501,29.476465690377587,4.201547430486236,389.07609865976036,7.015621310495677,64.0,0.539405579876232
60,220.54627964422892,30.16552989602938,4.498301577412075,426.29417622433243,6.705982108336977,66.0,0.5173570082462702
61,209.640187476538,28.417612509164158,4.640391931469612,414.2782411822886,6.123968175283914,62.0,0.5060371669008153
62,207.02775060946155,29.463272732756966,4.983211110820237,461.2539993753988,5.9125074329647065,65.0,0.44883675998431566
63,211.8946292147795,29.97236177469018,4.907814673696581,462.12449976571827,6.107068780597395,61.0,0.45852282084633694
64,205.83764869944034,29.27545438191932,5.12365428611081,471.2304387402993,5.713784097666221,69.0,0.43680889810447904
65,207.61613895711,30.046322558417828,5.119264916104762,483.2243408313851,5.869265031370952,60.0,0.42964751858299904
66,207.81804191825353,30.21170028406007,4.849729579879741,460.3016836287269,6.229563893500477,66.0,0.4514822545943081
67,207.56988174647387,29.707312439136338,4.980020082815343,464.77668138760663,5.965299726731619,56.0,0.4466013250207969
68,214.57324573829624,29.200230081951684,4.945779744723017,453.7022340461714,5.904070053484966,56.0,0.47293848175422476
69,230.41315824954683,29.681013662111106,5.3947641326669045,503.03831227252425,5.501818602667672,62.0,0.4580429613971808
70,222.77851269126273,30.056708156135524,5.381853228284211,508.1865152259028,5.584824944346895,59.0,0.43837942569615723
