time after 13 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,103.31320792231539,19.65718069100296,4.31828407577257,266.67500456938285,4.552081416155133,30.0,0.38741241643228547
5,105.04620305115027,21.35730970184577,3.4837574918915952,233.7460786169045,6.130538578404111,27.0,0.4494030602469039
10,109.52399435994226,19.670062527383568,3.838640067669867,237.2100064387858,5.124226856550189,33.0,0.46171742922744674
15,102.59430009000656,20.66632259319939,4.134876414066391,268.45754268143446,4.998050854166971,33.0,0.3821621067721321
20,110.56657191413805,17.89724421720915,3.8033931015184312,213.84901363893064,4.705599379160682,32.0,0.5170310118933824
25,115.11206704297295,19.567913382434703,3.7711283275045404,231.8279000107678,5.188874968724104,31.0,0.49654104202999855
30,124.67640687119314,18.41951872033296,4.238824971479831,245.2864937701187,4.34543035965518,43.0,0.5082889194381784
35,124.30109120657544,17.996516414751486,3.7545957965423713,212.27629997083193,4.793196762038828,40.0,0.5855627369784341
40,130.2019795542237,22.497708749091363,3.79924233304949,268.5252679422384,5.921630361239266,35.0,0.48487794296598946
45,115.30032912477417,22.733239775939946,4.077140839430482,291.18360543012915,5.5757798592788985,30.0,0.39597122562740233
50,144.5526153701777,24.455731196438283,3.609618727620495,277.3268099921544,6.7751563369574495,42.0,0.5212356330578609
55,155.13409082212877,23.217878334298828,4.212688900288514,307.27822977723963,5.511415365304736,47.0,0.5048652191682852
60,142.42393571373742,23.96980419380634,3.55189000597698,267.4692545114589,6.748464663452669,40.0,0.5324871300586651
65,161.64557620863323,23.19698917657523,4.658038955265665,339.4568749491319,4.979990377785971,51.0,0.4761888420520458
70,173.5276198568961,24.126534778367663,5.342621515898021,404.9479749320236,4.515860744874855,44.0,0.4285183050638177
75,183.43492052357206,23.216115588162534,4.600411556673181,335.53367673656027,5.046530142392614,49.0,0.5466960047279948
80,164.49024612274334,23.267175986131033,4.189352805727122,306.2248872237775,5.55388315692182,47.0,0.5371550549467266
85,170.14481412683205,24.61810316510605,5.180993886881463,400.69833687599333,4.751617875373357,45.0,0.42462071455886236
