time after 13 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,96.87018843765486,22.11648631887076,2.7959967111317874,194.2686221616411,7.910054482831726,28.0,0.4986404256115744
5,95.86238270759057,20.65532906643224,3.429969407531846,222.57287591582715,6.022015537828223,28.0,0.4307011009905983
10,114.02336303070696,19.62735467291359,3.499917552395261,215.80895256000233,5.607947724220272,33.0,0.5283532572588922
15,123.07329989778344,20.59801877265766,4.11695912250804,266.4108309935463,5.003211875494505,37.0,0.4619680792961636
20,109.75299416771911,19.932479906281806,4.112846827677836,257.54536792165135,4.846394903924961,35.0,0.42615013833643245
25,128.94170266670397,18.204613187740517,3.849427978412986,220.15447958977944,4.72917360444961,41.0,0.5856873905403378
30,126.50635815954183,13.871305188522186,4.073637536906222,177.52093778582585,3.4051397707457625,37.0,0.7126278158363961
35,126.08478528428802,12.845072277701584,4.585741225767755,185.05293127405938,2.8010896483918004,34.0,0.6813444370549266
40,141.00541116568857,19.953866521811157,5.012467962107584,314.2161805272975,3.9808466952118313,40.0,0.44875286476037707
45,153.4979211002419,20.813751483900095,3.914491900111029,255.96208327506167,5.317101686507447,42.0,0.5996900757183249
50,143.11847936200041,19.680730675794514,3.8908813847017725,240.5686783462444,5.058167733710802,46.0,0.5949173447925487
55,156.2413238691623,21.701265658484235,3.6068241957256206,245.9007823894485,6.016723987878865,50.0,0.6353835980143939
60,137.4017270225294,20.348131981872584,3.8076501054221796,243.4060965394766,5.344013083790547,46.0,0.5644958321750376
65,155.73948404094227,21.077245312746502,4.035897637574859,267.24147837237734,5.222442986787857,43.0,0.5827668855503526
70,156.97247916977707,19.89510689099033,4.706966309323999,294.19632226634855,4.226736624730082,54.0,0.5335637031779858
75,154.6233675174254,18.822218895733947,3.981687722216035,235.4441414952914,4.727196156221492,48.0,0.6567305796416161
80,145.65661517795456,19.57325832653396,3.4101851118408946,209.69639031827523,5.739646876813639,44.0,0.6946071649439378
85,150.94322683030612,21.824443394957264,4.108434785973198,281.6887137981434,5.312106564151665,54.0,0.5358511698785036
90,158.39880944789007,20.893637083991266,3.3436630123891926,219.4756887685455,6.248726922113438,61.0,0.7217146023627892
95,170.14113447039153,23.139032067618704,3.8690664812093334,281.2556482419753,5.980520670812113,54.0,0.604934107221955
100,154.9202560572968,16.636947140089877,3.889775799165504,203.3050092580278,4.277096675767044,55.0,0.7620090455355051
105,166.52501794687484,22.308741032060848,4.121065345602308,288.82476970306516,5.413343191916882,57.0,0.5765607226765066
110,148.5533774519789,18.480150375569053,4.1601438332429,241.52590591526538,4.442190250225909,48.0,0.6150618787207692
115,166.25433341926941,23.068866235603007,4.077310511803239,295.49484599890104,5.657863478590089,55.0,0.5626302308497378
120,194.98409530884703,21.890064112444424,4.849301387203372,333.4848299532742,4.514065504406314,65.0,0.5846865518175653
125,164.73688213092055,20.426800688245315,3.901710967468769,250.383276596088,5.235344406225247,54.0,0.6579388382901864
130,161.53650333337947,21.433378697947134,4.2555503898150615,286.54725169433806,5.0365702986960965,53.0,0.5637342615510115
135,175.34900333337927,20.65604036686496,4.300989502091264,279.10352970112575,4.8026251533098145,65.0,0.6282579210701827
140,158.96067811865478,20.624478605056147,4.394801723461722,284.7555104419998,4.692925848042706,55.0,0.5582356523036719
145,161.0198141268321,21.33632209952102,4.03018130166287,270.14318468919964,5.294134556854195,58.0,0.5960535865899625
150,159.11556178736114,23.8452022627516,3.626397136585462,271.66034408687807,6.575452539984005,53.0,0.5857150859548177
155,167.74392577918363,23.587014204730497,4.032803876417687,298.83395535831175,5.848787822948307,56.0,0.5613281983904845
160,167.69291116568823,22.612399816857867,4.082360873836674,290.00662650669796,5.539049710616676,56.0,0.5782382050563772
165,165.63669273215012,22.907312345151514,3.710779953150414,267.04792757163165,6.173179933696537,54.0,0.6202508075548369
170,164.52533361149253,23.890594012380504,3.4460468542133116,258.6413740668907,6.932753680690863,53.0,0.6361137470950121
175,169.45255672397263,21.81449513828265,4.303198569691014,294.9079131754901,5.06936753788915,50.0,0.574594811306867
180,173.48028489984108,20.50042517777042,4.446189590677517,286.3523283007215,4.610785203751632,64.0,0.6058280927181969
185,179.04278489984094,22.264411785191854,4.173445613965675,291.9146270524046,5.334779423191249,70.0,0.6133395462492501
190,173.05871202458727,19.89750715461762,4.068107124325427,254.29681617013526,4.891097148263278,63.0,0.6805382569508999
195,177.17927028634566,21.71970977765056,4.381831314116777,298.99198412670614,4.9567653842988,65.0,0.5925886969975123
