time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
65,327.83404563607826,24.04687628424655,11.611168662595803,877.1714246529742,2.0710125727232875,73.0,0.37373999702028105
66,320.3510505072439,24.986193694505687,11.530941360827416,905.1378760987176,2.1668823830279864,67.0,0.3539251410934275
67,329.49718145203303,24.584185861110875,11.852450716740494,915.4062251203909,2.0741858750265023,67.0,0.3599464067536779
68,332.06780284671447,23.947099666549832,11.708702583046337,880.8694919400162,2.045239384696997,77.0,0.37697730013940245
69,333.8374096279011,23.60399128045344,11.830727640891833,877.297263446575,1.9951428176630819,77.0,0.38052940951437364
70,332.66799224548555,23.74544034660492,11.757636286931767,877.1020417104244,2.01957602422157,71.0,0.3792808321330029
71,332.7756717097023,22.93628758090892,11.173152254314857,805.0979388754417,2.052803636686448,77.0,0.4133356398533603
72,321.79115241726544,23.78317599826775,11.409492422081415,852.4836271299031,2.0845078044172123,68.0,0.3774748771429839
73,329.49978336205413,23.309304650659715,11.535873276514602,844.7528533827103,2.020592987798691,69.0,0.39005465568137737
74,331.64362806143953,23.495300305988266,11.66621593967348,861.1144637175066,2.0139606902086764,67.0,0.385133036355823
75,320.2655797342343,23.803963867948717,11.561117718206031,864.5676442433164,2.0589673462508813,72.0,0.3704343805446662
76,329.2715456360785,23.349041621623467,10.994050917630279,806.4485697996176,2.1237887468922376,74.0,0.40829825728117325
77,332.38918632319826,23.504973850010504,11.23401471934444,829.5539462332623,2.0923039925821048,72.0,0.40068423257157737
78,329.36038040091023,24.481663116990916,11.681066495915577,898.407329501088,2.0958414307076514,76.0,0.36660473438458446
79,333.8977541350631,23.456452764679106,11.372319108765153,838.0332423781041,2.062591854866276,77.0,0.39843020210935143
80,335.8389337915038,24.182935872803295,11.437255253961702,868.9218348931162,2.1144002941113578,79.0,0.38650074184499517
81,347.839695873305,23.336941365649846,11.430689357271921,838.0428597357109,2.0416040219659597,78.0,0.4150619408451274
82,348.32116683853735,23.997210194763994,11.89362268998809,896.6537831754994,2.017653562775668,75.0,0.3884678494356628
83,339.64654563607877,24.152093126302056,11.663411316705421,884.9734441762979,2.0707572142044914,71.0,0.38379292381164026
84,348.7102541350632,23.982706022337382,12.080289235925123,910.1760202405935,1.9852758120241114,76.0,0.38312397424279104
85,355.73506473629214,23.12059278495357,11.928587792387585,866.4387529833687,1.9382506284363634,74.0,0.4105715072316491
86,339.120341623812,23.03154870617437,10.944516188546006,791.8986139075416,2.104391670622961,70.0,0.42823706932691524
87,339.33341430684294,22.605849970229723,10.921128402806664,775.6007616958332,2.069918889006026,73.0,0.43751041910389343
88,342.09489969334766,22.582260822954417,10.73061246026175,761.2754108044263,2.1044708218270305,74.0,0.44937074656314197
89,342.54940456451294,22.770826097307673,10.556158861927994,755.1523472372633,2.157112866066585,77.0,0.4536162879155912
90,330.25606492851585,22.857150005357,10.510147145442732,754.7111174016452,2.1747697429020305,84.0,0.43759268588163497
91,337.4184386626682,22.881687905516717,10.621228380405132,763.5063927399405,2.154335363669482,87.0,0.44193269613866487
92,331.70689014324046,22.955041743012924,10.44132284317901,752.9800742005791,2.198480220157998,85.0,0.440525455464948
93,322.71608928434125,22.783031118162324,10.596833948263411,758.4684236225223,2.149984724625789,83.0,0.42548388203561116
94,331.6857591984511,23.803133198037703,10.92573768507032,817.0239150360147,2.1786293872462217,79.0,0.4059682380090799
95,324.823006666757,23.311591762113824,10.625292411256938,778.148872515041,2.193971785418011,74.0,0.41743041484710036
96,331.54159883444856,23.199732459049528,10.687751292940405,778.9672308258473,2.1706841620064345,79.0,0.42561687541458454
97,338.91107934978817,23.336063564712028,10.936031283998267,801.7467639748684,2.133869496044478,81.0,0.4227158681246785
98,340.7054967322036,22.81518498433766,11.014243722776442,789.4571262314785,2.0714254703805,73.0,0.43156934735465874
99,329.55600179559207,22.925209295906516,11.112161157608657,800.3163939461516,2.0630738675175975,74.0,0.41178214552201947
100,333.7243414315889,22.939352043698566,10.914043758638162,786.532567371076,2.1018196876426036,83.0,0.4242981858297828
101,331.5782104867996,23.020550613314118,11.212842759850583,810.9261618196566,2.053052121246448,83.0,0.40888828859925214
102,331.56304544385495,23.412321159349183,11.428502486732642,840.5889424223317,2.0485904593824578,77.0,0.39444135975473
103,338.4672977833252,23.11474071446225,10.971875795148435,796.745797614674,2.1067264291018653,82.0,0.42481215313170234
104,341.84566177514864,23.773613252039304,11.620197571456352,867.8777976018683,2.0458871809922052,77.0,0.3938868613988527
105,334.7978804009097,23.30992549269569,11.44048406721221,837.7899738027954,2.037494686042231,80.0,0.39962029968111873
106,346.4384918610384,23.773471749446728,11.579468400883488,864.8307101057705,2.0530710846477946,79.0,0.4005853259057698
107,334.05124439273243,23.793603524983823,11.696970563103198,874.3463275946998,2.0341680263809603,77.0,0.3820582689604213
108,348.38931707576296,23.96023567887535,11.623427840370294,874.9337753552169,2.061374321579824,80.0,0.39818935659938304
109,341.7461037056133,24.2036074903934,11.447445754751147,870.4394548889012,2.1143238420979578,80.0,0.3926132964058162
110,349.6555598651269,24.57140763906749,11.81746633568979,912.2298590108246,2.0792449871305894,74.0,0.38329764851621445
111,350.9136812598088,23.892215073033178,11.831682861877823,888.0814699191734,2.01934207939387,80.0,0.39513681249508154
112,347.98093866266817,24.475764178743198,12.099812654231254,930.3894537568339,2.0228217475899615,85.0,0.3740164264089093
113,348.7317007444695,24.890087316589725,11.779290975957089,921.0759503391741,2.1130378192875363,89.0,0.3786134038306544
114,341.0031473538765,24.56892689311061,11.427010586784307,882.0002139405788,2.150074746716813,76.0,0.3866247898403007
115,344.23798231093167,24.39832454282645,11.62223837736326,890.8398895322824,2.099279308394439,84.0,0.3864195871288015
116,343.38519100213944,24.771943443617026,11.897782240194402,925.9253373877002,2.0820639463319233,81.0,0.37085624200643125
117,351.39452089580607,24.66657371876771,11.85401129330985,918.5949168437174,2.0808630183007333,82.0,0.38253479793159967
118,365.15600628231033,23.990849922343443,11.289065910864107,850.8510033351766,2.1251403890959386,87.0,0.42916562929463226
119,370.5461713252552,24.898834446913366,11.406786883989067,892.261630955682,2.182808769914179,96.0,0.4152886983701981
120,383.52256922301115,24.713585125326958,11.115945535272804,863.0422055940903,2.2232553269451087,101.0,0.44438448865777846
121,383.70302557474764,24.712584095167266,11.056542507023828,858.3953825073871,2.2351095814508235,97.0,0.44700033736661626
122,373.57802557474764,24.208988067880956,10.986735935713208,835.593774235041,2.2034740990895965,98.0,0.44708091071734735
123,369.21711287127425,24.196166248151705,11.22751829305867,853.4541682948393,2.155076982872591,89.0,0.432615044354347
124,375.8209819264855,24.39054527174856,11.381453211371706,872.1056488015103,2.143007998959123,89.0,0.4309351538348099
125,374.1065158324172,24.635898596381512,11.860595742798559,917.9621704980493,2.077121514856434,86.0,0.40754023189151906
126,380.85359825777823,23.667775630311706,11.681809160904583,868.5951966216023,2.026036832507114,91.0,0.43847076260507406
127,375.74484104714224,23.91257420310609,11.500298503231985,863.9434502440179,2.0793003065429843,98.0,0.43491832820888265
128,381.81590885900795,24.597193610124236,11.89522116216945,919.195635011441,2.0678214616430215,91.0,0.4153804634355727
129,375.97859825777806,24.559656385439553,12.059208926205871,930.4455826321223,2.036589343109311,86.0,0.40408445724915837
130,359.3055012189217,25.142489586652236,12.027236754680096,950.0008890271916,2.090462680621022,79.0,0.3782159631312065
131,379.9217484950046,25.265049314792577,12.340422082191209,979.490069283915,2.047340775422361,83.0,0.3878770805433051
132,394.2812677874417,25.431924461823876,12.571050457812913,1004.3860386550409,2.0230548391457552,89.0,0.3925594867043534
133,383.6761902332463,24.36563613637386,12.152417162993345,930.229903698162,2.0050032688617967,87.0,0.4124530814457028
134,376.6909088590074,24.350580057149287,11.961616445293384,915.0589143054474,2.0357265398466,82.0,0.4116575479131037
135,377.0197824009371,24.510507689666284,12.056614045919858,928.383767236274,2.0329511748749236,93.0,0.40610337632603766
136,378.8885008344754,24.475134184722307,11.889357029039143,914.1833831946582,2.0585750873611626,90.0,0.41445568558731744
137,381.9439571862122,24.235415682466382,11.932814580804278,908.5382961074813,2.030989044399691,95.0,0.4203938995445798
138,377.45943789377543,24.509570557431363,12.421142161929781,956.4166035544464,1.9732139152671522,89.0,0.39466006392086606
