time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,178.4289546217279,16.870702016867153,3.865818383579929,204.89175118817025,4.364069995767388,60.0,0.8708449880828086
1,187.07064382827522,19.11904636398083,4.195714867493593,252.01249022889644,4.5568030640275685,56.0,0.7423070327124016
2,194.49342520251378,19.28922542400064,4.3410923380742705,263.0653722365621,4.443403623281931,62.0,0.7393349552202376
3,200.75414850721705,19.44024728973164,4.4623782345316725,272.53233451103966,4.356476808553611,61.0,0.7366250645722369
4,201.64094955833963,18.321557051432933,4.62014197252556,265.9301467202041,3.9655831271820454,64.0,0.758247803211624
5,187.10357582418666,19.51850166505393,4.856717083866301,297.8099160684113,4.018867339399514,61.0,0.6282650970601201
6,193.39907095302135,20.28097675133852,4.931594742819047,314.21442646737864,4.112458101077728,64.0,0.6155002910825923
7,184.21664402049845,18.330640094998696,4.870533314472458,280.48137093280815,3.7635796557494943,65.0,0.656787448691661
8,181.83720228225695,18.916128780800342,5.176619406835481,307.62977714223666,3.6541470975869865,64.0,0.5910910314711899
9,179.75585758287167,18.735207510845477,5.2321117952582945,307.95367803156256,3.580811772375474,66.0,0.5837107019856677
10,172.85680906344354,18.652648271525113,5.0539959681049185,296.15922486408664,3.6906733581188904,59.0,0.583661741898369
11,183.822037239312,18.316090585533164,4.67468975804328,268.98957520328804,3.9181403544520714,66.0,0.6833797819130688
12,189.77546436405814,18.78559451479862,5.097051135844765,300.8110649880577,3.685580939671144,63.0,0.6308792675947352
13,192.66639148880415,18.408913076121394,5.252237319207861,303.7542484892573,3.5049659711297685,59.0,0.6342837752790084
14,186.0712751575107,18.121282454137166,5.073616009342335,288.8393755889778,3.571670071359249,65.0,0.6442032869586748
15,188.0882800286757,18.07785355721281,4.72848323988517,268.54593988018024,3.823182327204743,64.0,0.7003951730292288
16,192.02730419227817,18.211723602132608,4.778671904376282,273.4060602111743,3.81104289362373,67.0,0.7023520401996922
17,194.84164402049834,18.628444195225317,5.160380288475307,302.00085012282034,3.6098975567417537,63.0,0.6451691905544585
18,196.81023618818946,18.404398740014187,5.375501848075321,310.80680724612483,3.4237545182137397,59.0,0.6332236990946514
19,195.43339635996924,18.165385987790145,5.448648765364846,310.9448126835743,3.333924936263308,55.0,0.6285147344099529
20,191.95928470761763,17.945466287959917,5.045129232186358,284.43099157255085,3.556988426277252,65.0,0.6748887793356156
21,189.59868766876133,18.959872066749835,4.970329616986127,296.05368151595127,3.8146106048891357,64.0,0.6404199626835102
22,191.7074448793976,17.93276456472751,5.144049704644646,289.80259887179716,3.486118057633799,66.0,0.6615104406437884
23,195.70744487939749,18.20898818814029,5.050016388681207,288.8873163000541,3.6057285336643234,63.0,0.6774525354243143
24,193.8889789775534,18.79185431724882,4.908514699996082,289.7807990265865,3.828419688192809,66.0,0.6690884269380618
25,190.89633829043404,18.743733400945583,5.239459490090106,308.52648978234674,3.5774173722303626,63.0,0.6187356503005751
