time_min,frame_index,tubulin_length_um,n_tubulin_tips
0.0,0,40.516373541929724,18.0
10.0,10,49.42690744786247,17.0
20.0,20,49.543786053180504,20.0
30.0,30,44.935028842544405,16.0
40.0,40,50.09296083845575,21.0
50.0,50,49.981286053180526,20.0
100.0,100,58.11409178324475,30.0
110.0,110,66.39702377915609,33.0
120.0,120,57.50977631085026,31.0
130.0,130,60.88369856443131,28.0
140.0,140,70.0845237791561,33.0
150.0,150,72.57900429449556,35.0
160.0,160,75.29239264214388,30.0
170.0,170,70.61745577506741,23.0
180.0,180,72.49321785686863,27.0
190.0,190,69.60673247036404,29.0
200.0,200,79.76390238447416,34.0
210.0,210,78.04499455216528,35.0
220.0,220,84.79499455216532,40.0
230.0,230,90.36714011044972,33.0
