time_min,frame_index,tubulin_length_um,n_tubulin_tips
0.0,0,143.7295228180401,38.0
10.0,5,170.57019741109207,46.0
20.0,10,203.06068260537333,40.0
30.0,15,183.8491340859453,51.0
40.0,20,203.61950294893308,45.0
50.0,25,217.93612902255686,47.0
60.0,30,208.96385719842547,52.0
70.0,35,160.8027461227434,45.0
80.0,40,236.20389597552335,47.0
90.0,45,245.81157543974044,41.0
100.0,50,268.06233752154174,48.0
110.0,55,277.11303647041944,49.0
120.0,60,301.3025070512052,45.0
