time_min,frame_index,tubulin_length_um,n_tubulin_tips
0.0,0,228.48714363605234,38.0
10.0,5,227.02819702664567,38.0
20.0,10,247.71982310026945,48.0
30.0,15,285.11608479762424,59.0
40.0,20,296.3683710430281,64.0
50.0,25,308.42674496940384,66.0
60.0,30,304.45707505529407,69.0
70.0,35,325.2378515583675,71.0
80.0,40,310.4797301636853,59.0
90.0,45,347.62554544385694,70.0
100.0,50,355.12846301849567,69.0
110.0,55,376.2295452516337,77.0
120.0,60,400.72631201237664,83.0
