time_min,frame_index,tubulin_length_um,n_tubulin_tips
0.0,0,38.79854345603982,19.0
10.0,10,48.743849186104086,25.0
20.0,20,51.95615978733344,25.0
30.0,30,55.77494135379519,20.0
40.0,40,58.09556274847717,21.0
50.0,50,59.584077361972554,29.0
100.0,100,66.052353865046,28.0
110.0,110,66.5016549161683,28.0
120.0,120,63.782747083859455,29.0
130.0,130,66.91218882210106,27.0
140.0,140,70.45324221269432,30.0
150.0,150,82.27875176280143,29.0
160.0,160,79.28611107568211,32.0
170.0,170,77.23065472394512,27.0
180.0,180,79.0904896810002,38.0
190.0,190,80.23585854398797,36.0
200.0,200,81.27798968100021,41.0
210.0,210,80.36377611862709,48.0
220.0,220,81.84048968100016,33.0
230.0,230,80.05387802864851,34.0
