group_a,group_b,n_a,n_b,level_a_anchor,level_b_anchor,level_diff_a_minus_b,level_diff_ci95,p_level_diff,slope_a,slope_b,slope_diff_a_minus_b,slope_diff_ci95,p_slope_diff,test_model
WT cI,WT cIV,7,5,0.7257340055614453,0.8882714367677351,0.15255510857373925,"[0.0576542, 0.247456]",0.00464798455260479,-0.05221046654814329,-0.06804575028969188,-0.01583528374154468,"[-0.0613877, 0.0297172]",0.46029916078714767,compare_two_series_cluster_robust
WT cI,MT inh cIV,7,4,0.7257340055614453,1.017548530566486,0.14285649439188783,"[0.0539515, 0.231761]",0.005009426896759857,-0.05221046654814329,-0.05691051756060321,-0.004700051012459822,"[-0.0473744, 0.0379743]",0.811108316781954,compare_two_series_cluster_robust
WT cIV,MT inh cIV,5,4,0.8882714367677351,1.017548530566486,-0.009698614181848877,"[-0.0674619, 0.0480647]",0.7087164414599312,-0.06804575028969188,-0.05691051756060321,0.011135232729084496,"[-0.0165911, 0.0388616]",0.3814738954229226,compare_two_series_cluster_robust
