cls,class_label,n_experiments,n_timepoints,slope_per_hour,slope_se,slope_ci95_low,slope_ci95_high,p_two_sided,p_decrease_one_sided,decrease_significant_0p05,test_model
class_I,WT cI,7,6,-0.05221046654814329,0.018073631979419382,-0.09643505083181746,-0.007985882264469127,0.027738274500230475,0.013869137250115238,True,cluster_robust_FE
class_IV,WT cIV,5,6,-0.06804575028969188,0.010819617146522565,-0.09808582335626857,-0.038005677223115195,0.003265299342083863,0.0016326496710419316,True,cluster_robust_FE
class_IV_MT_inh,MT inh cIV,4,6,-0.05691051756060321,0.006266294207065034,-0.07685266240769803,-0.03696837271350839,0.0028202529216341263,0.0014101264608170632,True,cluster_robust_FE
